Word,N_CBOI_raters,CBOI_Mean,CBOI_SD
school,27,6.555555556,1.086041979
vegetable,27,6.555555556,0.974021534
puzzle,47,6.553191489,0.904301571
doll,284,6.542253521,1.18066424
arms,24,6.541666667,1.350657382
floor,24,6.541666667,1.284664283
helmet,24,6.541666667,0.9770927
pea,24,6.541666667,1.318073913
applesauce,26,6.538461538,1.392286443
rain,26,6.538461538,1.0288156
raincoat,36,6.527777778,0.810153816
carrots,23,6.52173913,0.897955517
dishes,23,6.52173913,1.081647112
car,25,6.52,1.045625809
cracker,25,6.52,1.228820573
pretzel,25,6.52,1.004987562
family,29,6.517241379,1.271126881
dog,45,6.511111111,0.968180633
feet,26,6.5,0.948683298
kids,28,6.5,1.071516751
leaf,24,6.5,1.142080481
leaves,30,6.5,0.90019155
mom,26,6.5,1.272792206
mother,24,6.5,1.693979108
tv,26,6.5,1.303840481
soup,43,6.488372093,1.008820457
fingernail,29,6.482758621,1.153277617
bedroom,27,6.481481481,1.311791798
eyes,27,6.481481481,1.087352832
sofa,25,6.48,1.159022577
phone,282,6.478723404,1.22891084
eye,23,6.47826087,1.081647112
lollipop,23,6.47826087,1.410014997
grandfather,44,6.477272727,1.088814939
spaghetti,34,6.470588235,1.079710795
stick,30,6.466666667,1.332183412
toast,30,6.466666667,1.136641554
watermelon,43,6.465116279,1.141194804
driveway,26,6.461538462,0.76056659
shoulder,26,6.461538462,0.859337849
teeth,26,6.461538462,1.333589719
freezer,24,6.458333333,0.931532943
honey,24,6.458333333,1.178767472
page,24,6.458333333,1.318073913
snow,35,6.457142857,1.559465541
rice,27,6.444444444,1.050030525
tent,25,6.44,0.86986589
cupboard,32,6.4375,1.014014697
bacon,23,6.434782609,1.308228746
dress,23,6.434782609,1.079818459
gift,23,6.434782609,0.945135246
neck,23,6.434782609,1.160959124
sweater,23,6.434782609,1.036869719
mask,30,6.433333333,1.304721752
tongue,30,6.433333333,1.356550731
raisin,33,6.424242424,1.090593389
glasses,26,6.423076923,0.945434373
papers,26,6.423076923,1.390627971
pie,34,6.411764706,1.157783856
glove,27,6.407407407,0.843949473
backyard,25,6.4,1.190238071
bottle,25,6.4,1.190238071
shelves,25,6.4,1.290994449
slide,35,6.4,1.354730275
wrist,28,6.392857143,0.916486274
friend,23,6.391304348,1.339576949
mattress,23,6.391304348,1.157549545
chalk,36,6.388888889,1.293451148
drum,31,6.387096774,0.954896831
lips,29,6.379310345,1.17758206
cookie,37,6.378378378,1.232687925
bag,32,6.375,1.211503997
pumpkin,27,6.37037037,1.181529262
pen,46,6.369565217,1.235739916
body,33,6.363636364,1.597227712
nails,25,6.36,1.319090596
sneakers,25,6.36,1.254325848
bucket,28,6.357142857,1.253566341
human,28,6.357142857,1.339272487
game,284,6.355633803,1.148175671
balloon,23,6.347826087,1.228772323
park,23,6.347826087,1.433644296
grape,26,6.346153846,1.263085356
pocket,26,6.346153846,0.93561991
vacuum,32,6.34375,1.180742659
necklace,24,6.333333333,1.049499536
peas,24,6.333333333,1.551063216
swing,28,6.321428571,1.334820599
napkin,25,6.32,0.9
tummy,25,6.32,1.405939781
stairs,47,6.319148936,1.446230227
basketball,32,6.3125,1.148280622
father,29,6.310344828,1.62795771
arm,42,6.30952381,1.584807371
dirt,42,6.30952381,1.334131585
keys,26,6.307692308,1.435805858
computer,23,6.304347826,0.973969507
shower,30,6.3,1.368361719
children,24,6.291666667,1.545798419
sled,24,6.291666667,1.267629306
doorknob,28,6.285714286,1.46204177
play dough,36,6.277777778,1.649434728
nuts,29,6.275862069,1.065583399
refrigerator,26,6.269230769,1.372812946
wall,26,6.269230769,1.457606046
potty,30,6.266666667,1.529780993
nut,34,6.264705882,1.462849513
candy,23,6.260869565,1.483772566
donut,27,6.259259259,1.583389563
photo,27,6.259259259,1.059484366
skirt,27,6.259259259,1.227649179
belly button,24,6.25,1.510830466
coin,28,6.25,1.601503923
elbow,45,6.244444444,1.448440471
adult,33,6.242424242,1.323591304
cards,25,6.24,1.331665624
coat,25,6.24,1.479864859
scarf,25,6.24,1.164760347
bathroom,46,6.239130435,1.594222661
spider,30,6.233333333,1.222866427
living room,26,6.230769231,1.069866994
shovel,26,6.230769231,1.274604011
wood,26,6.230769231,1.242825565
corn,31,6.225806452,1.334408169
tissue,27,6.222222222,1.250640861
hug,46,6.217391304,1.800161023
mud,23,6.217391304,1.53612623
photograph,23,6.217391304,1.126398998
pot,23,6.217391304,1.085295173
blueberry,28,6.214285714,1.618347187
costume,24,6.208333333,1.178767472
people,24,6.208333333,1.473805092
truck,24,6.208333333,1.062366786
butter,29,6.206896552,1.544097294
picture,44,6.204545455,1.339551217
glue,25,6.2,1.118033989
man,45,6.2,1.407770642
stair,25,6.2,1.755942292
clap,26,6.192307692,1.414757386
insect,26,6.192307692,1.442753777
library,26,6.192307692,1.625281041
home,27,6.185185185,1.520046483
window,27,6.185185185,0.962250449
grandmother,40,6.175,1.752470783
ankle,23,6.173913043,1.192864159
boy,23,6.173913043,1.370208143
sink,23,6.173913043,1.641844138
mitt,29,6.172413793,1.559967159
garbage,24,6.166666667,1.16718415
bookcase,25,6.16,1.462873884
dandelion,25,6.16,1.02794293
dinner,25,6.16,1.404753834
garden,25,6.16,1.34412301
animal,45,6.155555556,1.506886549
ketchup,26,6.153846154,1.461295526
kitchen,26,6.153846154,1.376729681
peanut butter,26,6.153846154,1.61721508
chicken,35,6.142857143,1.309307341
cheese,29,6.137931034,1.355521458
knob,29,6.137931034,1.481411921
juice,31,6.129032258,1.499820778
mailbox,24,6.125,1.034723235
mat,24,6.125,1.19099885
shorts,24,6.125,1.361345243
tub,33,6.121212121,1.268798047
hamburger,25,6.12,1.78699002
jam,25,6.12,1.235583533
staircase,25,6.12,1.01324561
wagon,25,6.12,1.092397974
babies,26,6.115384615,1.557611584
potato,35,6.114285714,1.450586668
basement,27,6.111111111,1.450022104
cat,27,6.111111111,1.648620247
jello,36,6.111111111,1.617366074
bubble,28,6.107142857,1.370030703
puddle,30,6.1,1.348050956
feather,23,6.086956522,1.411415907
comb,47,6.085106383,1.471907772
sister,24,6.083333333,1.863065885
bathing,25,6.08,1.382027496
camera,25,6.08,1.351542329
flashlight,25,6.08,1.411854572
gingerbread,25,6.08,1.222020185
room,25,6.08,1.605199884
tire,25,6.08,1.469693846
crumb,26,6.076923077,1.622912861
ground,26,6.076923077,1.354195759
scooter,26,6.076923077,1.809377283
classroom,27,6.074074074,1.959708101
drawing,27,6.074074074,1.662387669
oatmeal,27,6.074074074,1.268734255
string,27,6.074074074,1.567112139
tires,30,6.066666667,1.412587094
foot,31,6.064516129,1.878571867
seat,48,6.0625,1.629596608
street,32,6.0625,1.412787225
walkie-talkie,33,6.060606061,1.273268283
stool,34,6.058823529,1.650365918
pail,35,6.057142857,1.235334133
glitter,37,6.054054054,1.526541952
block,23,6.043478261,1.223937791
can,23,6.043478261,1.609016099
tail,23,6.043478261,1.429502802
jeans,24,6.041666667,1.517411029
doctor,25,6.04,1.337908816
skate,25,6.04,1.645195024
jar,26,6.038461538,1.708350531
person,27,6.037037037,1.828860122
outdoors,28,6.035714286,1.710147121
tape,28,6.035714286,1.346659595
plant,30,6.033333333,1.129031728
cheek,32,6.03125,1.469789869
baby,48,6.020833333,1.839167056
bell,48,6.020833333,1.263052421
money,24,6,1.251086484
outside,30,6,1.83829006
scissors,35,6,1.732050808
slippers,27,6,1.386750491
spit,23,6,1.566698904
stroller,26,6,1.673320053
television,32,6,1.565762723
peanut,45,5.977777778,1.484601093
seed,44,5.977272727,1.405779373
muffin,33,5.96969697,1.92816053
green beans,31,5.967741935,1.642840446
sandbox,30,5.966666667,1.650148025
child,28,5.964285714,1.835496559
curtains,28,5.964285714,1.400585667
outfit,26,5.961538462,1.586966143
sneaker,26,5.961538462,1.586966143
groceries,25,5.96,1.27410099
lamp,25,5.96,1.743559577
sausage,25,5.96,1.368697678
vitamins,25,5.96,1.767295486
teacher,33,5.939393939,1.766695254
house,32,5.9375,1.933365777
pup,32,5.9375,1.625155079
syrup,31,5.935483871,1.749961597
bandage,45,5.933333333,1.513574937
mountain,30,5.933333333,1.574217558
gate,29,5.931034483,1.386955414
clock,27,5.925925926,1.465656218
doorbell,27,5.925925926,1.858989095
doorway,27,5.925925926,1.615452447
skin,27,5.925925926,1.79584833
stairway,27,5.925925926,1.298695379
beans,26,5.923076923,1.572846513
lemon,26,5.923076923,1.622912861
piano,26,5.923076923,1.598075766
closet,25,5.92,1.681269362
fence,25,5.92,1.579029238
pet,49,5.918367347,1.656260028
woman,24,5.916666667,1.691838893
basket,23,5.913043478,1.564174004
garage,23,5.913043478,1.703286755
liquid,23,5.913043478,1.703286755
chocolate,31,5.903225806,2.087340233
sleeve,29,5.896551724,1.759562194
hide-and-seek,28,5.892857143,2.024649686
licking,28,5.892857143,1.523623501
present,28,5.892857143,1.571488695
hole,27,5.888888889,1.368135546
sugar,27,5.888888889,1.577079417
frosting,26,5.884615385,1.42343031
throat,25,5.88,1.563116545
toaster,25,5.88,1.332916602
desk,33,5.878787879,1.84995905
card,23,5.869565217,1.516705396
key,43,5.860465116,1.390124958
kitten,43,5.860465116,1.859101106
ice,35,5.857142857,1.682834743
supper,28,5.857142857,1.508354161
music,27,5.851851852,1.994293854
puppet,27,5.851851852,1.586086226
lip,33,5.848484848,1.872852305
rug,33,5.848484848,1.481578806
gum,26,5.846153846,1.804268443
handlebars,26,5.846153846,1.592289112
brushes,32,5.84375,1.815868672
dolly,44,5.840909091,1.764549904
elevator,25,5.84,1.518771433
chest,43,5.837209302,1.744791331
bean,30,5.833333333,1.464130514
lock,24,5.833333333,1.203858531
mustard,24,5.833333333,1.464557113
airplane,29,5.827586207,1.691765044
hugged,23,5.826086957,1.992079177
treat,23,5.826086957,1.800307396
walk,28,5.821428571,2.073707923
mug,27,5.814814815,1.710533813
plane,27,5.814814815,1.569836764
meal,32,5.8125,2.085858684
rabbit,42,5.80952381,1.626579461
brother,36,5.805555556,1.848852068
bum,46,5.804347826,1.892905647
fist,30,5.8,1.710011091
clay,29,5.793103448,1.76026196
eat,24,5.791666667,2.283764373
fur,24,5.791666667,1.503016291
ant,28,5.785714286,1.872948613
butterfly,28,5.785714286,1.343217333
flour,28,5.785714286,1.618347187
ring,28,5.785714286,1.166099635
twig,23,5.782608696,1.857577155
orange,32,5.78125,1.86191672
chin,27,5.777777778,2.136376035
classmate,27,5.777777778,2.006400016
handle,27,5.777777778,1.717183144
papa,27,5.777777778,2.207214279
puppy,27,5.777777778,2.241794153
wheel,44,5.772727273,1.763501226
aunt,26,5.769230769,1.750604291
forest,26,5.769230769,1.478044446
brownie,25,5.76,1.690167645
counter,25,5.76,1.690167645
eyebrow,25,5.76,1.42243922
pool,25,5.76,1.640121947
steak,25,5.76,1.809235566
yard,29,5.75862069,1.975839287
marble,24,5.75,1.750776225
radio,24,5.75,1.700383588
downstairs,23,5.739130435,1.863949651
drawer,23,5.739130435,1.483772566
grown-up,23,5.739130435,2.027479207
kiss,23,5.739130435,2.071832551
pickle,23,5.739130435,1.711389422
salad,23,5.739130435,1.176179922
worm,23,5.739130435,1.684620036
sprinkler,42,5.738095238,1.69733685
cloth,26,5.730769231,1.457606046
telephone,26,5.730769231,1.888018905
strings,24,5.708333333,1.82921144
yellow,24,5.708333333,2.01038968
coloring,27,5.703703704,1.85668884
container,27,5.703703704,1.659814976
boat,33,5.696969697,2.128450852
bush,46,5.695652174,1.547321201
fort,23,5.695652174,1.869243469
mushroom,23,5.695652174,1.844766125
sauce,26,5.692307692,1.225372785
doorstep,25,5.68,1.345362405
lid,25,5.68,1.842100251
rose,25,5.68,1.864582169
light,27,5.666666667,2.019139192
train,27,5.666666667,1.687054785
umbrella,27,5.666666667,1.568929081
binoculars,47,5.659574468,1.684669955
ruler,29,5.655172414,1.737729678
tails,29,5.655172414,1.818081054
bunny,26,5.653846154,1.440619525
soil,26,5.653846154,1.623386773
rink,23,5.652173913,1.668115312
run,23,5.652173913,2.347313661
lick,34,5.647058824,1.905054727
skateboard,45,5.644444444,1.734090744
cape,25,5.64,1.912241268
stone,33,5.636363636,1.981448047
hat,30,5.633333333,2.14127473
purse,27,5.62962963,1.842827012
daisy,35,5.628571429,1.6285272
dentist,43,5.627906977,1.676493731
cold,24,5.625,2.102017664
paw,24,5.625,1.714706211
step,24,5.625,2.039021504
mail,29,5.620689655,1.612757025
broom,26,5.615384615,2.118054259
forehead,39,5.615384615,2.072570037
cousin,31,5.612903226,1.819842839
gums,31,5.612903226,1.782833313
cone,23,5.608695652,1.751340537
magazine,23,5.608695652,1.876629727
sidewalk,33,5.606060606,1.983358798
robot,25,5.6,1.707825128
sit,35,5.6,1.834313463
bug,32,5.59375,1.864081111
kite,27,5.592592593,2.004979556
dough,26,5.576923077,1.390627971
baseball,47,5.574468085,1.838532979
high chair,28,5.571428571,1.970684623
class,23,5.565217391,2.063229749
lettuce,23,5.565217391,1.727480745
dryer,41,5.56097561,1.613207682
beetle,25,5.56,1.916594202
deck,25,5.56,1.356465997
wet,25,5.56,2.2
field,27,5.555555556,1.577079417
fly,27,5.555555556,1.804552647
sand,29,5.551724138,2.028127336
blue,24,5.541666667,2.225917821
football,24,5.541666667,1.910592138
lake,283,5.540636042,1.665548581
upstairs,30,5.533333333,2.012603963
girl,23,5.52173913,2.23341494
rope,23,5.52173913,1.702126083
cherry,25,5.52,1.917463602
makeup,25,5.52,1.557776193
ponies,27,5.518518519,1.826521923
peach,37,5.513513514,1.966689571
pepper,26,5.5,1.655294536
restaurant,32,5.5,1.849149761
schoolyard,26,5.5,1.72626765
trash,24,5.5,1.744556752
plum,29,5.482758621,1.660909597
sponge,29,5.482758621,2.028734469
wand,29,5.482758621,1.724211821
sunflower,27,5.481481481,1.868161794
cap,23,5.47826087,2.192333029
play,26,5.461538462,2.4204259
families,31,5.451612903,1.85900887
laugh,31,5.451612903,2.218688947
meat,31,5.451612903,1.96364813
cart,45,5.444444444,1.76526531
glass,27,5.444444444,2.118296364
ladder,45,5.444444444,1.865421663
me,27,5.444444444,2.258885589
fish,23,5.434782609,1.471736357
hike,23,5.434782609,1.829706558
pan,23,5.434782609,1.996043517
shelf,23,5.434782609,1.440520328
envelope,28,5.428571429,1.834415265
branch,33,5.424242424,1.871334802
vitamin,33,5.424242424,2.092102755
neighbor,29,5.413793103,1.722067723
spill,27,5.407407407,1.845144548
horse,32,5.40625,1.720078299
bin,30,5.4,1.849510653
stocking,25,5.4,1.957890021
store,25,5.4,1.870828693
whistle,28,5.392857143,1.812289032
hose,46,5.391304348,1.819380369
itch,31,5.387096774,2.12410639
lap,31,5.387096774,2.108355115
baking,26,5.384615385,1.745323422
peel,26,5.384615385,1.675157857
bee,34,5.382352941,1.922982309
stand,29,5.379310345,1.840298755
granny,24,5.375,2.163180026
hoop,24,5.375,2.060234263
oven,24,5.375,1.883855898
running,24,5.375,2.261444325
dollar,27,5.37037037,2.168802366
hammer,27,5.37037037,1.690428898
building,46,5.369565217,1.913213651
map,282,5.358156028,1.694481561
zoo,45,5.355555556,1.990380909
washer,23,5.347826087,1.640639999
mouse,26,5.346153846,1.896149945
sport,29,5.344827586,1.674938423
apron,35,5.342857143,2.182050535
art,35,5.342857143,1.954525023
van,24,5.333333333,2.098999071
winter,27,5.333333333,2.218800785
frost,28,5.321428571,1.540888907
men,28,5.321428571,2.245218317
stove,28,5.321428571,2.073707923
log,25,5.32,1.70098011
medicine,25,5.32,1.6
microphone,25,5.32,1.77294482
uncle,29,5.310344828,1.7134645
party,26,5.307692308,2.16830313
chip,46,5.304347826,2.127800797
cough,23,5.304347826,1.690475528
left-hand,23,5.304347826,2.20402076
swinging,23,5.304347826,2.265046309
you,23,5.304347826,2.224548629
lemonade,30,5.3,1.985290737
mellon,27,5.296296296,2.162882955
summer,34,5.294117647,1.883411022
cabbage,24,5.291666667,2.115762103
goldfish,24,5.291666667,1.988645304
grocery,24,5.291666667,2.216129934
snake,24,5.291666667,2.216129934
guitar,25,5.28,1.860107524
movie,25,5.28,1.968925257
tag,33,5.272727273,1.807497014
nail,26,5.269230769,1.950542331
sneeze,26,5.269230769,2.219147445
women,26,5.269230769,1.909087579
suitcase,34,5.264705882,1.814233681
chain,23,5.260869565,1.421183607
flag,23,5.260869565,1.601629605
horn,23,5.260869565,1.763709709
pony,23,5.260869565,1.959067294
splash,23,5.260869565,1.789296238
catching,27,5.259259259,1.852079758
grasshopper,27,5.259259259,2.141038436
plastic,24,5.25,1.983628647
pork,24,5.25,1.725763851
rattle,49,5.244897959,2.116705501
hospital,25,5.24,1.87705443
lamb,25,5.24,2.005824851
tickle,42,5.238095238,2.127743839
tricycle,26,5.230769231,2.214636626
web,26,5.230769231,1.924737744
diaper,27,5.222222222,2.081665999
ribbon,36,5.222222222,2.015810523
tea,32,5.21875,1.995711127
toad,32,5.21875,2.01180989
jug,23,5.217391304,1.881887876
bone,28,5.214285714,1.571909498
jelly,42,5.214285714,1.969718493
play pen,28,5.214285714,2.079122729
lawn,24,5.208333333,1.864523874
ouch,24,5.208333333,2.08470969
sign,24,5.208333333,1.64129235
dime,25,5.2,1.707825128
penny,25,5.2,2.061552813
turkey,25,5.2,1.779513042
wash,25,5.2,2.254624876
pedal,31,5.193548387,1.939404631
greens,26,5.192307692,1.523659562
newspaper,42,5.19047619,2.015042156
mop,32,5.1875,1.730886404
mixer,27,5.185185185,1.961887573
purple,27,5.185185185,1.922279037
student,27,5.185185185,1.840506557
fan,45,5.177777778,1.748881316
ham,23,5.173913043,2.059394746
letter,23,5.173913043,1.585507487
whiskers,23,5.173913043,2.228986193
pastry,24,5.166666667,2.078182037
ticket,24,5.166666667,1.736229465
draw,25,5.16,2.055075019
point,25,5.16,1.8636881
yarn,25,5.16,1.795364401
story,32,5.15625,2.356998844
bite,26,5.153846154,2.185265342
dancer,26,5.153846154,1.433661262
bow,27,5.148148148,2.125010474
smile,27,5.148148148,2.444832914
mailman,28,5.142857143,1.757824533
homework,29,5.137931034,1.807210517
powder,29,5.137931034,1.684469775
corner,30,5.133333333,1.795268366
ski,30,5.133333333,1.870521471
alphabet,23,5.130434783,2.563810159
board,23,5.130434783,2.39894575
hall,23,5.130434783,1.659801407
swimming,23,5.130434783,2.473575767
robe,47,5.127659574,1.813200645
bakery,32,5.125,2.075199174
poke,24,5.125,1.848912724
top,24,5.125,2.153106956
dressing,33,5.121212121,2.204506404
snail,25,5.12,1.833030278
windy,25,5.12,2.204540769
wrap,25,5.12,2.127596453
waterfall,34,5.117647059,1.719138366
fireman,26,5.115384615,1.966253759
metal,26,5.115384615,1.478564793
battery,27,5.111111111,1.502135232
duck,27,5.111111111,2.18971957
earth,29,5.103448276,2.093268592
wallet,29,5.103448276,2.006148185
mess,283,5.088339223,2.164176026
reading,23,5.086956522,2.539023497
sunshine,24,5.083333333,2.019829237
sheet,37,5.081081081,2.228332441
parade,25,5.08,2.234576768
bedtime,27,5.074074074,2.302605981
hop,27,5.074074074,2.0177277
palm,27,5.074074074,2.234793501
pig,27,5.074074074,2.25193807
candle,28,5.071428571,1.903769583
machine,42,5.071428571,2.016914537
weather,29,5.068965517,2.170105897
path,44,5.068181818,1.796608268
scratch,33,5.060606061,2.207082264
vase,33,5.060606061,2.030076876
chew,35,5.057142857,2.127451626
donkey,35,5.057142857,1.747988039
talk,24,5.041666667,2.475605621
gym,25,5.04,1.859211302
hay,25,5.04,1.790716802
shadow,25,5.04,1.859211302
standing,25,5.04,2.335950913
tool,25,5.04,1.513274595
yolk,25,5.04,2.091251619
bird,26,5.038461538,2.199650322
frog,26,5.038461538,2.009592381
package,26,5.038461538,2.009592381
bench,28,5.035714286,2.219144694
jaw,28,5.035714286,1.914508792
poster,28,5.035714286,1.73166892
salmon,28,5.035714286,2.099067568
trunk,30,5.033333333,1.607811392
stomach,44,5.022727273,2.140295963
belt,24,5,1.817786518
birthday,30,5,2.505167074
brick,28,5,1.981394944
farm,25,5,2.397915762
globe,25,5,2.160246899
gymnasium,23,5,2.044949433
hill,31,5,2.081665999
kick,27,5,2.303842943
player,26,5,2.297825059
railing,25,5,1.914854216
road,23,5,1.758098146
salt,27,5,1.881079886
screen,23,5,2.132007164
spin,29,5,2.251983253
stamp,279,5,1.96735955
trail,26,5,1.897366596
weed,28,5,2.34125639
sunlight,48,4.979166667,2.338298921
skis,34,4.970588235,1.914621477
cane,33,4.96969697,1.878910064
cow,33,4.96969697,2.068889323
knock,33,4.96969697,1.991934494
sleep,30,4.966666667,2.525502112
tuna,30,4.966666667,1.938419785
swim,29,4.965517241,2.306555233
office,28,4.964285714,2.134064855
aquarium,27,4.962962963,1.870447941
sweat,27,4.962962963,2.139041509
taste,27,4.962962963,2.42552899
loud,26,4.961538462,2.357638975
medal,26,4.961538462,2.162975159
wiggle,26,4.961538462,2.068444231
unlock,25,4.96,2.091251619
canoe,24,4.958333333,1.852827843
visitor,24,4.958333333,2.136212957
catch,23,4.956521739,1.988106931
picnic,23,4.956521739,1.845837107
hold,37,4.945945946,2.222935321
bus,32,4.9375,2.242370577
cut,30,4.933333333,2.651393041
crawl,29,4.931034483,2.282402157
swallow,29,4.931034483,1.944424896
cinnamon,28,4.928571429,1.803875898
ladies,28,4.928571429,2.259606184
ocean,28,4.928571429,2.071474183
red,27,4.925925926,2.68794926
song,27,4.925925926,2.416703507
sitting,26,4.923076923,2.365131319
washing,26,4.923076923,2.365131319
bridge,25,4.92,1.754042949
frozen,24,4.916666667,2.019829237
off,24,4.916666667,2.602952616
pain,24,4.916666667,1.954185401
skater,24,4.916666667,2.083405796
breath,35,4.914285714,2.240948179
tube,23,4.913043478,2.02064444
hamster,33,4.909090909,2.021194516
knife,32,4.90625,2.021806522
digging,30,4.9,2.383130367
bat,29,4.896551724,2.093268592
crown,28,4.892857143,2.266328173
male,28,4.892857143,2.16605608
underwater,28,4.892857143,2.042860843
beach,36,4.888888889,1.953425969
oats,26,4.884615385,2.303509029
river,26,4.884615385,2.026364687
stack,26,4.884615385,2.160128201
thread,26,4.884615385,2.06546698
singer,25,4.88,2.127596453
bark,33,4.878787879,2.175970699
chipmunk,24,4.875,2.049655326
cook,24,4.875,2.401313047
cowboy,24,4.875,2.028331934
fireplace,24,4.875,2.173206407
supermarket,24,4.875,2.232419238
watch,32,4.875,2.310564796
cream,31,4.870967742,1.978921179
cooking,23,4.869565217,2.11712386
equipment,23,4.869565217,1.890270491
furry,23,4.869565217,2.11712386
helicopter,23,4.869565217,2.180582654
kangaroo,23,4.869565217,1.984126733
switch,23,4.869565217,2.282429882
touch,23,4.869565217,2.201329099
cop,29,4.862068966,2.030554779
gold,35,4.857142857,2.157652007
rake,28,4.857142857,1.957214304
hearts,27,4.851851852,2.522265522
material,27,4.851851852,1.974913897
whisper,27,4.851851852,2.070000069
dust,26,4.846153846,1.973672874
circle,32,4.84375,2.126778193
noise,284,4.841549296,2.246213711
sports,31,4.838709677,2.11497477
airport,43,4.837209302,2.148423925
coffee,24,4.833333333,1.970801352
theater,24,4.833333333,1.992740448
curb,41,4.829268293,1.973606331
dry,23,4.826086957,2.145866511
farmer,23,4.826086957,1.77487961
librarian,23,4.826086957,2.166945356
nest,23,4.826086957,2.228986193
shed,28,4.821428571,2.211980367
muddy,33,4.818181818,2.403832168
green,27,4.814814815,2.512079081
work,26,4.807692308,2.172910137
cement,31,4.806451613,1.661713069
jump,31,4.806451613,2.600248127
bib,41,4.804878049,2.147318237
checkers,25,4.8,2.081665999
carry,29,4.793103448,2.226132302
collar,24,4.791666667,1.955575456
dictionary,24,4.791666667,1.84105751
drapes,24,4.791666667,1.955575456
flies,43,4.790697674,1.994732821
hairy,33,4.787878788,2.190285024
pop,28,4.785714286,2.061231974
punch,23,4.782608696,2.066101329
dance,32,4.78125,2.498184825
blood,27,4.777777778,1.671787006
policeman,35,4.771428571,1.733505701
writing,35,4.771428571,2.579166695
tiptoe,26,4.769230769,2.303175066
brown,25,4.76,2.332380758
hook,25,4.76,2.332380758
stem,25,4.76,2.067204231
yes,25,4.76,2.696911814
color,33,4.757575758,2.264264547
down,32,4.75,1.866513051
pole,24,4.75,1.983628647
sailboat,28,4.75,1.838376901
